candidate.x,candidate.y,state.x,election_jurisdiction,party,general_party,last_name,first_name,middle_initial,jr_ifapplicable,office,bill_pass_date,bill_number,original_or_amendment,Note,candidate_entity,election_status,status_of_candidate,specific_party,election_year,election_type,office_sought,incumbency_status,original_name,contributor,type_of_contributor,specific_business,general_industry,broad_sector,dollar_amount,date,last_updated,type_of_transaction,purpose,city,state.y,zip,in_state,parent_org_or_employer,recipient
"LESLIE, TIMOTHY","LESLIE, TIM",CA,CA,REPUBLICAN,REPUBLICAN,LESLIE,TIMOTHY,NA,NA,1ST DISTRICT,1994-08-27,SB 1860,Amendment,NA,"LESLIE, TIM",Won-General,Won,REPUBLICAN,2000,Standard,ASSEMBLY DISTRICT 004,Open,CALIF UNION OF SAFETY EMPLOYEES INDEPENDENT EXPENDITURE,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,1250,2000-02-17,2017-12-18,DIR,NA,SACRAMENTO,CA,95814,1,NA,"LESLIE, TIM"
"CARDOZA, DENNIS","CARDOZA, DENNIS A",CA,CA,DEMOCRAT,DEMOCRATIC,CARDOZA,DENNIS,NA,NA,26TH DISTRICT,1997-07-11,AB 1436,Amendment,NA,"CARDOZA, DENNIS A",Won-General,Won,DEMOCRATIC,2000,Standard,ASSEMBLY DISTRICT 026,Incumbent,CAUSE INDEPENDENT EXPENDITURE / CA UNION OF SAFETY EMPLOYEES,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,2500,2000-10-31,2017-12-18,DIR,NA,SACRAMENTO,CA,95814,1,NA,"CARDOZA, DENNIS A"
"SCOTT, JACK A","SCOTT, JACK",CA,CA,DEMOCRAT,DEMOCRATIC,SCOTT,JACK,A,NA,44TH DISTRICT,1998-06-18,AB 2293,Amendment,NA,"SCOTT, JACK",Won-General,Won,DEMOCRATIC,2000,Standard,SENATE DISTRICT 021,Open,NATIVE AMERICANS & PEACE OFFICERS PAC,NATIVE AMERICANS & PEACE OFFICERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,100000,2000-02-19,2020-06-08,DIR,NA,WEST SACRAMENTO,CA,95605,1,NA,"SCOTT, JACK"
"SCOTT, JACK A","SCOTTO, FRANK A",CA,CA,DEMOCRAT,REPUBLICAN,SCOTT,JACK,A,NA,44TH DISTRICT,1998-06-18,AB 2293,Amendment,NA,"SCOTTO, FRANK A",Lost-General,Lost,REPUBLICAN,2018,Standard,ASSEMBLY DISTRICT 066,Challenger,TORRANCE POLICE OFFICERS ASSOCIATION PAC,TORRANCE POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,4400,2017-10-21,2020-06-08,DIR,NA,TORRANCE,CA,90501,1,NA,"SCOTTO, FRANK A"
"SHER, BYRON","SHER, BYRON D",CA,CA,DEMOCRAT,DEMOCRATIC,SHER,BYRON,NA,NA,11TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"SHER, BYRON D",Won-General,Won,DEMOCRATIC,2000,Standard,SENATE DISTRICT 011,Incumbent,CA ASSOCIATION OF HIGHWAY PATROLMEN PAC,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,NA,2020-06-08,DIR,NA,SACRAMENTO,CA,95818,1,NA,"SHER, BYRON D"
"POSEY, BILL","HAGER, BILL",FL,FL,REPUBLICAN,REPUBLICAN,POSEY,BILL,NA,NA,32ND DISTRICT,2000-04-28,HB 937,Amendment,NA,"HAGER, BILL",Won-General,Won,REPUBLICAN,2010,Standard,HOUSE DISTRICT 087,Open,PALM BEACH COUNTY POLICE BENEVOLENT ASSOCIATION,PALM BEACH COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,2010-06-16,2020-06-08,DIR,NA,WEST PALM BEACH,FL,33409,1,NA,"HAGER, BILL"
"FASANO, MIKE","HOGAN, MIKE",FL,FL,REPUBLICAN,REPUBLICAN,FASANO,MIKE,NA,NA,11TH DISTRICT,2009-04-29,SB 624,Amendment,"In part expanded evidence available to be viewed by accused officer to video recordings, GPS information, incident reports, and any other available evidence.","HOGAN, MIKE",Won-General,Won,REPUBLICAN,2002,Standard,HOUSE DISTRICT 013,Incumbent,INTL UNION OF POLICE ASSOC,INTERNATIONAL UNION OF POLICE ASSOCIATIONS / IUPA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,2002-01-20,2020-06-08,DIR,NA,ALEXANDRIA,VA,22314,0,NA,"HOGAN, MIKE"
"SANDLIN, JACK","SANDLIN, JACK E",IN,IN,REPUBLICAN,REPUBLICAN,SANDLIN,JACK,NA,NA,36TH DISTRICT,2019-04-30,SB 79,Original,NA,"SANDLIN, JACK E",Won-General,Won,REPUBLICAN,2016,Standard,SENATE DISTRICT 036,Open,FRATERNAL ORDER OF POLICE INDIANA STATE LODGE P.A.C,FRATERNAL ORDER OF POLICE INDIANA STATE LODGE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,2016-09-14,2020-06-08,DIR,NA,HIGHLAND,IN,46322,1,NA,"SANDLIN, JACK E"
"PRESSEL, JIM","WIESER, JIM",IN,IN,REPUBLICAN,DEMOCRATIC,PRESSEL,JIM,NA,NA,20TH DISTRICT,2020-03-11,HB 1015,Amendment,Extends the bill of rights to firefighters.,"WIESER, JIM",Lost-General,Lost,DEMOCRATIC,2014,Standard,HOUSE DISTRICT 015,Challenger,FRATERNAL ORDER OF POLICE INDIANA STATE LODGE PAC,FRATERNAL ORDER OF POLICE INDIANA STATE LODGE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,400,2014-09-25,2020-06-08,DIR,NA,HIGHLAND,IN,46322,1,NA,"WIESER, JIM"
"NIEZGODSKI, DAVID","NIEZGODSKI, DAVID L",IN,IN,DEMOCRAT,DEMOCRATIC,NIEZGODSKI,DAVID,NA,NA,10TH DISTRICT,2020-03-11,HB 1015,Amendment,Extends the bill of rights to firefighters.,"NIEZGODSKI, DAVID L",Won-General,Won,DEMOCRATIC,2008,Standard,HOUSE DISTRICT 007,Incumbent,FRATERNAL ORDER OF POLICAE IND STATE LODGE PAC,INDIANA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2007-12-10,2020-06-08,DIR,NA,INDIANAPOLIS,IN,46201,1,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,"NIEZGODSKI, DAVID L"
"FORD, JON","ELROD, JON",IN,IN,REPUBLICAN,REPUBLICAN,FORD,JON,NA,NA,38TH DISTRICT,2020-03-11,HB 1015,Amendment,Extends the bill of rights to firefighters.,"ELROD, JON",Lost-General,Lost,REPUBLICAN,2008,Standard,HOUSE DISTRICT 097,Incumbent,FOP PAC,INDIANA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,300,2008-10-20,2020-06-08,DIR,NA,INDIANAPOLIS,IN,46201,1,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,"ELROD, JON"
"GEYMANN, BRETT","GEYMANN, BRETT F",LA,LA,REPUBLICAN,REPUBLICAN,GEYMANN,BRETT,NA,NA,35TH DISTRICT,2007-06-12,HB 350,Amendment,NA,"GEYMANN, BRETT F",Won-General,Won,REPUBLICAN,2007,Standard,HOUSE DISTRICT 035,Incumbent,HAL TURNER LA SHERIFFS & DEPUTIES PAC,LOUISIANA SHERIFFS & DEPUTIES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1100,2007-10-15,2020-06-08,DIR,NA,BATON ROUGE,LA,70802,1,NA,"GEYMANN, BRETT F"
"ST. GERMAIN, KAREN G","ST GERMAIN, KAREN",LA,LA,DEMOCRAT,DEMOCRATIC,ST. GERMAIN,KAREN,G,NA,60TH DISTRICT,2008-06-09,HB 93,Amendment,Expanded bill of rights to police employees.,"ST GERMAIN, KAREN",Default Winner-General,Default Winner,DEMOCRATIC,2011,Standard,HOUSE DISTRICT 060,Incumbent,LOUISIANA SHERIFFS & DEPUTIES PAC,LOUISIANA SHERIFFS & DEPUTIES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1100,2008-01-04,2020-06-08,DIR,NA,BATON ROUGE,LA,70802,1,NA,"ST GERMAIN, KAREN"
"MORRELL, JP","MORRELL, J P",LA,LA,DEMOCRAT,DEMOCRATIC,MORRELL,JP,NA,NA,3RD DISTRICT,2014-06-02,SB 294,Amendment,Very minor technical change in the language of the statute.,"MORRELL, J P",Won-General,Won,DEMOCRATIC,2007,Standard,HOUSE DISTRICT 097,Incumbent,LOUISIANA SHERIFFS & DEPUTIES,LOUISIANA SHERIFFS & DEPUTIES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1100,2007-10-23,2020-06-08,DIR,NA,BATON ROUGE,LA,70802,1,NA,"MORRELL, J P"
"MCINTOSH, MAGGIE","MCINTOSH, MAGGIE L",MD,MD,DEMOCRAT,DEMOCRATIC,MCINTOSH,MAGGIE,NA,NA,43RD DISTRICT,2019-04-03,HB 370,Amendment,Very minor change updating covered police officers after a state police force was merged with another police force. Sponsored by McIntosh in her role as Appropriations Committee chair.,"MCINTOSH, MAGGIE L",Won-General,Won,DEMOCRATIC,2010,Standard,HOUSE DISTRICT 043,Incumbent,FRATERNAL ORDER OF POLICE,IDAHO SATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,2000,2009-01-13,2020-06-08,DIR,NA,BALTIMORE,MD,21211,1,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,"MCINTOSH, MAGGIE L"
"HAYES, ANTONIO","HAYES, ANTONIO L",MD,MD,DEMOCRAT,DEMOCRATIC,HAYES,ANTONIO,NA,NA,40TH DISTRICT,2019-04-01,SB 793,Amendment,Extends bill of rights protections to Johns Hopkins University Police Department.,"HAYES, ANTONIO L",Won-General,Won,DEMOCRATIC,2018,Standard,SENATE DISTRICT 040,Open,BALTIMORE CITY FRATERNAL ORDER OF POLICE PAC FUND,BALTIMORE CITY FRATERNAL ORDER OF POLICE LODGE 3,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2018-06-11,2020-06-08,DIR,NA,BALTIMORE,MD,21211,1,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,"HAYES, ANTONIO L"
